Team,Abbrev,Team,Opponent,Full Name
49ers,SF,49ers,ARI,49ers
Bears,CHI,Bears,DAL,Bears
Bengals,CIN,Bengals,MIN,Bengals
Bills,BUF,Bills,#N/A,Bills
Broncos,DEN,Broncos,LAC,Broncos
Browns,CLE,Browns,GB,Browns
Buccaneers,TB,Buccaneers,NYJ,Buccaneers
Cardinals,ARI,Cardinals,SF,Cardinals
Chargers,LAC,Chargers,DEN,Chargers
Chiefs,KC,Chiefs,#N/A,Chiefs
Colts,IND,Colts,TEN,Colts
Commanders,WAS,Commanders,LV,Commanders
Cowboys,DAL,Cowboys,CHI,Cowboys
Dolphins,MIA,Dolphins,#N/A,Dolphins
Eagles,PHI,Eagles,LAR,Eagles
Falcons,ATL,Falcons,CAR,Falcons
Giants,NYG,Giants,#N/A,Giants
Jaguars,JAX,Jaguars,HOU,Jaguars
Jets,NYJ,Jets,TB,Jets
Lions,DET,Lions,#N/A,Lions
Packers,GB,Packers,CLE,Packers
Panthers,CAR,Panthers,ATL,Panthers
Patriots,NE,Patriots,PIT,Patriots
Raiders,LV,Raiders,WAS,Raiders
Rams,LAR,Rams,PHI,Rams
Ravens,BAL,Ravens,#N/A,Ravens
Saints,NO,Saints,SEA,Saints
Seahawks,SEA,Seahawks,NO,Seahawks
Steelers,PIT,Steelers,NE,Steelers
Texans,HOU,Texans,JAX,Texans
Titans,TEN,Titans,IND,Titans
Vikings,MIN,Vikings,CIN,Vikings
